ticker,quarter,fiscal_year,event_date,transcript_id,total_words,positive_count,negative_count,uncertainty_count,positive_ratio,negative_ratio,uncertainty_ratio,net_sentiment,sentiment_polarity
TD,1,2016,2016-02-26 02:12:12,TD_97177,3518,115,138,62,0.03268902785673678,0.03922683342808414,0.01762364980102331,-0.006537805571347359,-0.09090909090909091
TD,2,2016,2016-05-26 23:02:42,TD_102617,3885,123,132,67,0.03166023166023166,0.03397683397683398,0.017245817245817245,-0.0023166023166023217,-0.03529411764705882
TD,3,2016,2016-08-25 23:36:30,TD_106803,3399,123,109,46,0.03618711385701677,0.032068255369226244,0.013533392174168874,0.004118858487790526,0.0603448275862069
TD,4,2016,2016-12-02 01:06:08,TD_111129,3671,129,76,62,0.03514028874965949,0.02070280577499319,0.016889131026968127,0.014437482974666304,0.25853658536585367
TD,1,2017,2017-03-03 02:07:08,TD_114466,4138,154,92,53,0.03721604639922668,0.022232962783953602,0.012808119864668923,0.01498308361527308,0.25203252032520324
TD,2,2017,2017-05-25 23:22:09,TD_119341,3676,143,91,36,0.03890097932535364,0.024755168661588684,0.009793253536452665,0.014145810663764958,0.2222222222222222
TD,3,2017,2017-08-31 21:24:30,TD_123653,4064,148,73,51,0.03641732283464567,0.01796259842519685,0.012549212598425197,0.018454724409448817,0.3393665158371041
TD,4,2017,2017-12-01 00:35:05,TD_127826,4272,147,79,74,0.03441011235955056,0.01849250936329588,0.017322097378277154,0.015917602996254682,0.3008849557522124
TD,1,2018,2018-03-01 22:52:07,TD_130962,4542,143,121,78,0.03148392778511669,0.02664024658740643,0.017173051519154558,0.00484368119771026,0.08333333333333333
TD,2,2018,2018-05-24 23:03:08,TD_135856,4310,144,87,44,0.03341067285382831,0.020185614849187936,0.010208816705336427,0.013225058004640373,0.24675324675324675
TD,3,2018,2018-08-30 23:54:07,TD_140253,4259,151,81,35,0.035454332002817564,0.019018548955153793,0.008217891523831886,0.01643578304766377,0.3017241379310345
TD,-1,2018,2018-09-12 22:56:53,TD_140450,2515,63,48,29,0.025049701789264415,0.019085487077534793,0.011530815109343936,0.005964214711729622,0.13513513513513514
TD,4,2018,2018-11-30 01:02:21,TD_144634,4130,116,90,61,0.028087167070217918,0.021791767554479417,0.01476997578692494,0.006295399515738501,0.1262135922330097
TD,1,2019,2019-03-01 00:10:11,TD_147925,4110,113,121,60,0.027493917274939172,0.029440389294403894,0.014598540145985401,-0.0019464720194647227,-0.03418803418803419
TD,2,2019,2019-05-24 00:13:10,TD_153204,4478,104,106,56,0.023224653863331845,0.023671281822242072,0.012505582849486378,-0.00044662795891022705,-0.009523809523809525
TD,3,2019,2019-08-29 22:21:10,TD_157780,1950,45,67,21,0.023076923076923078,0.03435897435897436,0.010769230769230769,-0.01128205128205128,-0.19642857142857142
TD,-1,2019,2019-09-10 20:19:09,TD_157963,1056,43,33,17,0.04071969696969697,0.03125,0.016098484848484848,0.009469696969696968,0.13157894736842105
TD,4,2019,2019-12-05 23:52:24,TD_162236,1264,39,47,27,0.030854430379746837,0.037183544303797465,0.021360759493670885,-0.0063291139240506285,-0.09302325581395349
TD,1,2020,2020-02-28 01:39:09,TD_165241,1670,38,55,27,0.022754491017964073,0.03293413173652695,0.016167664670658683,-0.010179640718562876,-0.1827956989247312
TD,2,2020,2020-05-29 01:56:08,TD_170472,5165,98,196,86,0.01897386253630203,0.03794772507260406,0.01665053242981607,-0.01897386253630203,-0.3333333333333333
TD,3,2020,2020-08-27 20:53:18,TD_175012,4178,117,138,68,0.028003829583532792,0.03303015797032073,0.016275730014360938,-0.0050263283867879385,-0.08235294117647059
TD,4,2020,2020-12-03 21:48:07,TD_180298,3982,128,102,43,0.03214465092918132,0.025615268709191362,0.010798593671521849,0.006529382219989957,0.11304347826086956
TMO,3,2006,2006-10-25 16:49:51,TMO_1237,2614,111,46,24,0.04246365723029839,0.017597551644988524,0.009181331293037491,0.02486610558530987,0.4140127388535032
TMO,2,2007,2007-07-27 01:14:58,TMO_2550,3675,133,59,30,0.03619047619047619,0.016054421768707482,0.00816326530612245,0.020136054421768707,0.3854166666666667
TMO,3,2007,2007-10-25 18:05:21,TMO_3483,3823,106,48,26,0.027726916034527857,0.012555584619408842,0.006800941668846455,0.015171331415119015,0.37662337662337664
TMO,4,2007,2008-02-07 00:26:10,TMO_5551,3580,104,68,30,0.02905027932960894,0.01899441340782123,0.008379888268156424,0.01005586592178771,0.20930232558139536
TMO,1,2008,2008-04-24 17:43:12,TMO_7803,3780,127,87,43,0.0335978835978836,0.023015873015873017,0.011375661375661376,0.010582010582010581,0.18691588785046728
