Ticker,Event_Date,Event_Type
ASML,2013-05-23,Earnings Call
ASML,2013-07-17,Earnings Call
ASML,2013-09-04,Earnings Call
ASML,2013-10-16,Earnings Call
ASML,2014-01-22,Earnings Call
ASML,2014-04-16,Earnings Call
ASML,2014-07-16,Earnings Call
ASML,2014-10-15,Earnings Call
ASML,2015-01-21,Earnings Call
ASML,2015-04-15,Earnings Call
ASML,2015-07-15,Earnings Call
ASML,2015-10-14,Earnings Call
ASML,2016-01-20,Earnings Call
ASML,2016-04-20,Earnings Call
ASML,2016-07-20,Earnings Call
ASML,2016-10-19,Earnings Call
ASML,2017-01-18,Earnings Call
ASML,2017-04-19,Earnings Call
ASML,2017-07-19,Earnings Call
ASML,2017-09-12,Earnings Call
ASML,2017-10-18,Earnings Call
ASML,2018-01-17,Earnings Call
ASML,2018-04-18,Earnings Call
ASML,2018-07-18,Earnings Call
ASML,2018-10-17,Earnings Call
ASML,2019-01-23,Earnings Call
ASML,2019-04-17,Earnings Call
ASML,2019-07-17,Earnings Call
ASML,2019-10-16,Earnings Call
ASML,2020-01-22,Earnings Call
ASML,2020-04-15,Earnings Call
ASML,2020-07-15,Earnings Call
ASML,2020-10-14,Earnings Call
AXP,2007-07-24,Earnings Call
AXP,2007-10-23,Earnings Call
AXP,2008-01-29,Earnings Call
AXP,2008-04-25,Earnings Call
AXP,2008-07-22,Earnings Call
AXP,2008-10-21,Earnings Call
AXP,2009-01-27,Earnings Call
AXP,2009-04-24,Earnings Call
AXP,2009-07-24,Earnings Call
AXP,2009-10-23,Earnings Call
AXP,2010-01-22,Earnings Call
AXP,2010-04-23,Earnings Call
AXP,2010-07-23,Earnings Call
AXP,2010-10-26,Earnings Call
AXP,2011-01-25,Earnings Call
AXP,2011-04-21,Earnings Call
AXP,2011-07-21,Earnings Call
AXP,2011-08-04,Earnings Call
AXP,2011-10-20,Earnings Call
AXP,2012-01-20,Earnings Call
AXP,2012-02-09,Earnings Call
AXP,2012-04-19,Earnings Call
AXP,2012-04-30,Earnings Call
AXP,2012-07-19,Earnings Call
AXP,2012-10-18,Earnings Call
AXP,2013-01-18,Earnings Call
AXP,2013-04-17,Earnings Call
AXP,2013-04-29,Earnings Call
AXP,2013-06-12,Earnings Call
AXP,2013-06-13,Earnings Call
AXP,2013-07-17,Earnings Call
AXP,2013-09-11,Earnings Call
AXP,2013-10-16,Earnings Call
AXP,2014-01-17,Earnings Call
AXP,2014-04-17,Earnings Call
AXP,2014-05-30,Earnings Call
AXP,2014-06-11,Earnings Call
AXP,2014-07-30,Earnings Call
AXP,2014-08-09,Earnings Call
AXP,2014-10-16,Earnings Call
AXP,2015-01-22,Earnings Call
AXP,2015-04-17,Earnings Call
AXP,2015-07-23,Earnings Call
AXP,2015-10-22,Earnings Call
AXP,2016-01-22,Earnings Call
AXP,2016-04-21,Earnings Call
AXP,2016-07-21,Earnings Call
AXP,2016-10-20,Earnings Call
AXP,2017-01-20,Earnings Call
AXP,2017-04-20,Earnings Call
AXP,2017-07-20,Earnings Call
AXP,2017-10-19,Earnings Call
AXP,2018-01-19,Earnings Call
AXP,2018-04-19,Earnings Call
AXP,2018-07-19,Earnings Call
AXP,2018-09-12,Earnings Call
AXP,2018-10-19,Earnings Call
AXP,2018-12-05,Earnings Call
AXP,2019-01-18,Earnings Call
AXP,2019-03-16,Earnings Call
AXP,2019-04-19,Earnings Call
AXP,2019-07-19,Earnings Call
AXP,2019-09-10,Earnings Call
AXP,2019-10-18,Earnings Call
AXP,2019-12-10,Earnings Call
AXP,2020-01-24,Earnings Call
AXP,2020-04-24,Earnings Call
AXP,2020-06-04,Earnings Call
AXP,2020-07-24,Earnings Call
AXP,2020-10-23,Earnings Call
AXP,2021-01-26,Earnings Call
AZN,2005-11-09,Earnings Call
AZN,2006-02-06,Earnings Call
AZN,2006-04-20,Earnings Call
AZN,2006-07-20,Earnings Call
AZN,2006-10-26,Earnings Call
AZN,2007-02-07,Earnings Call
AZN,2007-07-27,Earnings Call
AZN,2007-11-01,Earnings Call
AZN,2010-07-29,Earnings Call
AZN,2010-10-31,Earnings Call
AZN,2012-07-26,Earnings Call
AZN,2012-10-25,Earnings Call
AZN,2013-01-31,Earnings Call
AZN,2013-04-26,Earnings Call
AZN,2013-08-01,Earnings Call
AZN,2013-11-01,Earnings Call
AZN,2014-02-06,Earnings Call
AZN,2014-04-24,Earnings Call
AZN,2014-08-01,Earnings Call
AZN,2014-11-09,Earnings Call
AZN,2015-02-07,Earnings Call
AZN,2015-04-24,Earnings Call
AZN,2015-07-30,Earnings Call
AZN,2015-11-05,Earnings Call
AZN,2016-02-08,Earnings Call
AZN,2016-04-29,Earnings Call
AZN,2016-07-31,Earnings Call
AZN,2016-11-10,Earnings Call
AZN,2017-02-03,Earnings Call
AZN,2017-04-28,Earnings Call
AZN,2017-07-27,Earnings Call
AZN,2017-11-09,Earnings Call
AZN,2017-12-15,Earnings Call
AZN,2018-02-05,Earnings Call
AZN,2018-05-19,Earnings Call
AZN,2018-07-27,Earnings Call
