ticker,market_cap,stock_price,date,log_market_cap
GM,23617293786.085384,25.317047357559204,2010-11-01,23.885245068166263
GM,24112344688.803413,25.84772742878307,2010-12-01,23.905989774050347
GM,26447258663.002293,28.350686836242676,2011-01-01,23.998418347648954
GM,24920842017.429092,26.714412889982526,2011-02-01,23.938970319116226
GM,22149050109.216278,23.743133130280867,2011-03-01,23.82106044805823
GM,21838111348.19922,23.409815883636476,2011-04-01,23.806922507352983
GM,21977519317.082294,23.559257144019718,2011-05-01,23.81328591863734
GM,20538774333.66963,22.016964652321555,2011-06-01,23.745580367498384
GM,20851459387.2371,22.352153873443605,2011-07-01,23.760689777333422
GM,17148277052.37041,18.382450850113578,2011-08-01,23.56516354209294
GM,15156200906.440786,16.24700355529785,2011-09-01,23.44167558591625
GM,16403228996.696623,17.58378115154448,2011-10-01,23.52074404243874
GM,15530606928.532345,16.64835584731329,2011-11-01,23.46607855438215
GM,14302497157.605097,15.33185813540504,2011-12-01,23.383699985372807
GM,16634742737.045681,17.8319571018219,2012-01-01,23.5347592811362
GM,18124308347.49842,19.4287278175354,2012-02-01,23.620519876821014
GM,17802277758.21905,19.083520455793902,2012-03-01,23.602592250002655
GM,16759165271.614176,17.96533441543579,2012-04-01,23.542211125963757
GM,15437427588.857214,16.548470323736016,2012-05-01,23.460060760723263
GM,14752251397.357416,15.813981510344005,2012-06-01,23.414661545193358
GM,13724291145.386637,14.712038221813383,2012-07-01,23.34243317604189
GM,14501664384.117687,15.545359570047129,2012-08-01,23.397529264897198
GM,16326765517.641132,17.501814541063812,2012-09-01,23.516071654355727
GM,16992719997.26184,18.2156982421875,2012-10-01,23.556050853828452
GM,17486619269.775,18.745143799554732,2012-11-01,23.584701812254433
GM,18257791969.688717,19.571818351745605,2012-12-01,23.62785778309782
GM,20445699614.037506,21.917191278366815,2013-01-01,23.74103840949951
GM,19357399831.36554,20.750565779836553,2013-02-01,23.686340603543833
GM,19557761012.904186,20.9653470993042,2013-03-01,23.696638027358226
GM,20270732526.486618,21.72963168404319,2013-04-01,23.732443935212526
GM,22663780345.061172,24.29490887035023,2013-05-01,23.844033907628383
GM,23425609308.966515,25.111567211151122,2013-06-01,23.87709567578775
GM,25024830109.039646,26.825885079123758,2013-07-01,23.943134373275086
GM,24550844665.727222,26.3177865635265,2013-08-01,23.924012096531005
GM,25453634191.534367,27.2855504989624,2013-09-01,23.960124367058174
GM,24745354154.74396,26.526295039964758,2013-10-01,23.931903597421776
GM,26243025063.71698,28.131754398345947,2013-11-01,23.99066607881799
GM,28163207532.008312,30.190133775983536,2013-12-01,24.061282265585227
GM,27014096280.455902,28.958320163545153,2014-01-01,24.019624651173395
GM,25038236408.18994,26.84025623923854,2014-02-01,23.9436699497151
GM,24808101330.74503,26.593558175223215,2014-03-01,23.93443610333574
GM,23894201516.080135,25.61388433547247,2014-04-01,23.89690165205829
GM,24183527908.02977,25.924033755347843,2014-05-01,23.90893757339404
GM,25659490390.495197,27.506222316196986,2014-06-01,23.968179335862455
GM,26104779393.66429,27.98355908827348,2014-07-01,23.985384253042106
GM,24167769822.63567,25.907141549246653,2014-08-01,23.9082857569303
GM,23959927535.88074,25.68434070405506,2014-09-01,23.89964858581015
GM,22262135857.511276,23.86435774098272,2014-10-01,23.826153128663062
GM,22736194947.474037,24.372535203632555,2014-11-01,23.847223982660687
GM,23703574331.272614,25.40953757546165,2014-12-01,23.88889168938147
GM,24727478457.82139,26.507132816314698,2015-01-01,23.93118095039485
GM,26578916783.38252,28.49182048596834,2015-02-01,24.003384136330446
GM,27513994053.762928,29.49419593811035,2015-03-01,24.03796058686841
GM,26441340831.90638,28.344343094598678,2015-04-01,23.998194562894692
GM,25658094828.44454,27.504726314544676,2015-05-01,23.968124946629406
GM,25955143951.542408,27.82315427606756,2015-06-01,23.979635652407197
GM,23157112997.886227,24.82374702800404,2015-07-01,23.86556782721304
GM,22410439889.58919,24.023335320608957,2015-08-01,23.832792753731667
GM,22149610125.632282,23.743733451479958,2015-09-01,23.821085731731056
GM,25058249655.974915,26.86170985481956,2015-10-01,23.94446893784469
GM,26594406178.110714,28.5084246635437,2015-11-01,24.003966736563182
GM,26101415561.770164,27.979953158985484,2015-12-01,23.985255385887484
GM,22633383538.092552,24.262324383384303,2016-01-01,23.842691801018365
GM,21688592304.107292,23.249535846710206,2016-02-01,23.800052258992437
