TICKER	EVENT_DATE	QUARTER	FISCAL_YEAR
BKNG	2018-05-10	Q1	2018
BKNG	2018-08-09	Q2	2018
BKNG	2018-11-06	Q3	2018
BKNG	2018-12-04	Q-1	2018
BKNG	2019-02-28	Q4	2018
BKNG	2019-05-10	Q1	2019
BKNG	2019-05-14	Q-1	2019
BKNG	2019-08-08	Q2	2019
BKNG	2019-11-08	Q3	2019
BKNG	2019-11-19	Q-1	2019
BKNG	2020-02-27	Q4	2019
BKNG	2020-05-08	Q1	2020
BKNG	2020-08-07	Q2	2020
BKNG	2020-11-06	Q3	2020
BKNG	2021-02-25	Q4	2020
BLK	2007-10-17	Q3	2007
BLK	2008-01-22	Q4	2007
BLK	2008-04-16	Q1	2008
BLK	2008-07-17	Q2	2008
BLK	2008-10-21	Q3	2008
BLK	2009-01-21	Q4	2008
BLK	2009-10-20	Q3	2009
BLK	2010-01-27	Q4	2009
BLK	2010-07-22	Q2	2010
BLK	2010-10-20	Q3	2010
BLK	2011-01-25	Q4	2010
BLK	2011-04-21	Q1	2011
BLK	2011-07-20	Q2	2011
BLK	2011-10-19	Q3	2011
BLK	2012-01-19	Q4	2011
BLK	2012-04-18	Q1	2012
BLK	2012-07-18	Q2	2012
BLK	2012-10-17	Q3	2012
BLK	2013-01-17	Q4	2012
BLK	2013-02-13	Q-1	2013
BLK	2013-04-16	Q1	2013
BLK	2013-06-18	Q-1	2013
BLK	2013-07-18	Q2	2013
BLK	2013-09-09	Q-1	2013
BLK	2013-10-16	Q3	2013
BLK	2013-12-10	Q-1	2013
BLK	2014-01-16	Q4	2013
BLK	2014-02-16	Q-1	2014
BLK	2014-04-17	Q1	2014
BLK	2014-07-16	Q2	2014
BLK	2014-10-15	Q3	2014
BLK	2015-01-16	Q4	2014
BLK	2015-04-16	Q1	2015
BLK	2015-07-15	Q2	2015
BLK	2015-10-14	Q3	2015
BLK	2016-01-15	Q4	2015
BLK	2016-04-14	Q1	2016
BLK	2016-07-14	Q2	2016
BLK	2016-10-18	Q3	2016
